County,District,Town,AvgPrice,AvgDownload,TotalCrimeCount,AvgAttainment,norm_price,norm_crime,norm_attainment,norm_download,QualityScore,TownLabel
WEST YORKSHIRE,LEEDS,WETHERBY,162750,41.415905511811026,1816,56,0.9032519191222017,0.9765911894398049,0.7940243257535695,0.5708650034761195,0.8701694899791481,WETHERBY (LEEDS)
WEST YORKSHIRE,BRADFORD,BINGLEY,99000,48.59982993197279,2940,50.5,0.992022272191486,0.960654482553276,0.5177154944473823,0.7996694869263123,0.8685153012246849,BINGLEY (BRADFORD)
WEST YORKSHIRE,CALDERDALE,BRIGHOUSE,93270.83333333333,47.086920529801326,3156,49.55,1,0.957591912546612,0.46998942358540435,0.7514840615202099,0.8564238646330854,BRIGHOUSE (CALDERDALE)
SOUTH YORKSHIRE,ROTHERHAM,MEXBOROUGH,120045.45454545454,48.20137221269297,4152,44.65,0.9627169791639788,0.9434700619603283,0.2238233738762558,0.7869788032130071,0.7915903653502419,MEXBOROUGH (ROTHERHAM)
WEST YORKSHIRE,KIRKLEES,CLECKHEATON,105000,29.999045801526716,2931,48.349999999999994,0.9836674154320239,0.9607820896368869,0.409703860391327,0.20724359881550375,0.7843667250236915,CLECKHEATON (KIRKLEES)
WEST YORKSHIRE,LEEDS,PUDSEY,165166.66666666666,53.363846153846154,4332,44.75,0.899886768482974,0.9409179202881084,0.22884717080909564,0.9514010763810813,0.7831396252795494,PUDSEY (LEEDS)
WEST YORKSHIRE,BRADFORD,ILKLEY,405331.5333333333,44.04142512077295,2495,60.1,0.5654629252070903,0.9669639439095975,1,0.6544865204607536,0.7817230053017907,ILKLEY (BRADFORD)
WEST YORKSHIRE,KIRKLEES,DEWSBURY,221142.85714285713,45.61031814273431,7813,50.01428571428571,0.8219412595881513,0.891562336060344,0.4933141950593033,0.7044549968092836,0.7653535433461528,DEWSBURY (KIRKLEES)
WEST YORKSHIRE,LEEDS,BRADFORD,148625,42.86178247734139,8644,47,0.9229206444101019,0.8797799486735952,0.3418826017979904,0.6169154785204071,0.7631703105777581,BRADFORD (LEEDS)
WEST YORKSHIRE,LEEDS,WAKEFIELD,184942.3076923077,30.871883656509695,3888,50.8,0.8723496604670118,0.9472132030795842,0.5327868852459015,0.23504305811725654,0.763165507971586,WAKEFIELD (LEEDS)
